Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	194.4986853601696	22.76595607196343	0.0	0.0	false	null
line	+	194.4986853601696	22.76595607196343	0.0	0.0	false	
line	+	194.49867085521595	22.765951613390055	0.0	0.0	false	
line	+	194.49865393266907	22.765951613108346	0.0	0.0	false	
line	+	194.4986370101222	22.765951612824853	0.0	0.0	false	
line	+	194.4986200875753	22.76595161253957	0.0	0.0	false	
line	+	194.4986031650284	22.765951612252515	0.0	0.0	false	
line	+	194.49858865976398	22.765962757838366	0.0	0.0	false	
line	+	194.49857657200428	22.76597390346446	0.0	0.0	false	
line	+	194.498569319212	22.76598727833967	0.0	0.0	false	
line	+	194.49855723144856	22.76599842396431	0.0	0.0	false	
line	+	194.49855481366862	22.76601179892244	0.0	0.0	false	
line	+	194.49854514340979	22.76602294458802	0.0	0.0	false	
line	+	194.49854514309087	22.766038548754665	0.0	0.0	false	
line	+	194.49854514277195	22.766054152921313	0.0	0.0	false	
line	+	194.498554812579	22.76606529892238	0.0	0.0	false	
line	+	194.49856689989653	22.766076444964565	0.0	0.0	false	
line	+	194.49857415215274	22.76608982008943	0.0	0.0	false	
line	+	194.4985886570282	22.766098737004874	0.0	0.0	false	
line	+	194.49859832684197	22.76610988300332	0.0	0.0	false	
line	+	194.49861283181005	22.766114341583247	0.0	0.0	false	
line	+	194.4986225015826	22.766127716746904	0.0	0.0	false	
line	+	194.49863700655337	22.766132175324653	0.0	0.0	false	
line	+	194.49865392912264	22.766132175608146	0.0	0.0	false	
line	+	194.4986708517354	22.766129946723193	0.0	0.0	false	
line	+	194.49868535688108	22.76612548862991	0.0	0.0	false	
line	+	194.49869986198277	22.76612325970199	0.0	0.0	false	
line	+	194.498714367084	22.76612103077275	0.0	0.0	false	
line	+	194.4987264548029	22.76611211430295	0.0	0.0	false	
line	+	194.49872887256777	22.766098739342226	0.0	0.0	false	
line	+	194.498738542817	22.766087593665585	0.0	0.0	false	
line	+	194.49874821314913	22.766071989655035	0.0	0.0	false	
line	+	194.49875546592838	22.76605861477174	0.0	0.0	false	
line	+	194.49875788368948	22.766045239810584	0.0	0.0	false	
line	+	194.49875788402616	22.766027406477267	0.0	0.0	false	
line	+	194.49875788432075	22.766011802310615	0.0	0.0	false	
line	+	194.49874579695108	22.76600288544947	0.0	0.0	false	
line	+	194.49873612713287	22.765991739459903	0.0	0.0	false	
line	+	194.498728874866	22.765978364342345	0.0	0.0	false	
line	+	194.4987192050509	22.765967218351765	0.0	0.0	false	
line	+	194.49870228258806	22.76596275974182	0.0	0.0	false	
line	+	194.49869744791886	22.765944926329148	0.0	0.0	false	
line	+	194.49870711815973	22.765933780654397	0.0	0.0	false	
line	+	194.4987167884418	22.765920405812405	0.0	0.0	false	
line	+	194.49872162371017	22.7659070308912	0.0	0.0	false	
line	+	194.49872404151455	22.765891426763883	0.0	0.0	false	
line	+	194.49873371179197	22.76587805192087	0.0	0.0	false	
line	+	194.49873612963688	22.76586021862671	0.0	0.0	false	
line	+	194.49874579986863	22.765849072949635	0.0	0.0	false	
line	+	194.49874821762697	22.765835697988614	0.0	0.0	false	
line	+	194.49875788789805	22.76582232314415	0.0	0.0	false	
line	+	194.49876030565474	22.765808948182947	0.0	0.0	false	
line	+	194.49876030594908	22.765793344016295	0.0	0.0	false	
line	+	194.4987506361445	22.765782198027605	0.0	0.0	false	
line	+	194.4987337136611	22.765779968587644	0.0	0.0	false	
line	+	194.49871679113548	22.765779968312557	0.0	0.0	false	
line	+	194.49870228619952	22.765775509742024	0.0	0.0	false	
line	+	194.49868778126452	22.765771051170184	0.0	0.0	false	
line	+	194.4986708587835	22.765768821723594	0.0	0.0	false	
line	+	194.49865393625927	22.765768821441885	0.0	0.0	false	
line	+	194.49863701382318	22.76576436282507	0.0	0.0	false	
line	+	194.4986176737961	22.765764362498896	0.0	0.0	false	
line	+	194.49860075127245	22.76576436221158	0.0	0.0	false	
line	+	194.4985814112454	22.765764361881047	0.0	0.0	false	
line	+	194.49855965371495	22.765764361506402	0.0	0.0	false	
line	+	194.4985427311913	22.765764361212977	0.0	0.0	false	
line	+	194.4985258086676	22.765764360917764	0.0	0.0	false	
line	+	194.49850888614395	22.76576436062077	0.0	0.0	false	
line	+	194.4984871286135	22.7657643602363	0.0	0.0	false	
line	+	194.49846537108309	22.76576435984888	0.0	0.0	false	
line	+	194.4984484485594	22.76576435954552	0.0	0.0	false	
line	+	194.49843152603574	22.76576435924037	0.0	0.0	false	
line	+	194.49841460341668	22.765768817266764	0.0	0.0	false	
line	+	194.49840009825215	22.765775504502255	0.0	0.0	false	
